mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_verbose,param_subsample,param_random_state,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
847.3673258781433,54.26236889439252,14.92034330368042,7.468204096102973,-1,0.8,42,70,300,20,-1,0.1,0.7,balanced,"{'verbose': -1, 'subsample': 0.8, 'random_state': 42, 'num_leaves': 70, 'n_estimators': 300, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 0.7, 'class_weight': 'balanced'}",0.70828842428374,0.7114356745267054,0.7019722914209617,0.7074043912508875,0.7109463511232725,0.7080094265211134,0.0033839506249897,1,0.9977696514748003,0.9975622482028575,0.997567345208668,0.997658768496418,0.9981205742466128,0.9977357175258714,0.000206701816514
257.8103577136993,17.8759050190679,1.930748462677002,0.2268476590992975,-1,0.7,42,50,300,20,15,0.1,0.7,balanced,"{'verbose': -1, 'subsample': 0.7, 'random_state': 42, 'num_leaves': 50, 'n_estimators': 300, 'min_child_samples': 20, 'max_depth': 15, 'learning_rate': 0.1, 'colsample_bytree': 0.7, 'class_weight': 'balanced'}",0.7053400880036566,0.7135723658946242,0.7013071095463469,0.7052920305635306,0.7056588561108063,0.706234090023793,0.0040035743798482,2,0.9517998931983962,0.9499851512208652,0.952487431373121,0.9508602537582186,0.9508302180732308,0.9511925895247664,0.0008654594794208
441.9889572143555,68.83216447191784,4.146366882324219,1.1344792438495603,-1,1.0,42,100,100,20,-1,0.2,0.7,balanced,"{'verbose': -1, 'subsample': 1.0, 'random_state': 42, 'num_leaves': 100, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.2, 'colsample_bytree': 0.7, 'class_weight': 'balanced'}",0.7054784550468598,0.7136759877674317,0.700380146443689,0.7008051935840299,0.7076843642446147,0.7056048294173249,0.0048952599317946,3,0.9972884470215684,0.997457342810272,0.9974759434429062,0.9974155281947088,0.9975255730455664,0.9974325669030044,8.02575481242422e-05
416.4187837123871,39.03014747328491,3.8625463008880616,0.8299402982294842,-1,0.8,42,31,500,20,15,0.05,1.0,balanced,"{'verbose': -1, 'subsample': 0.8, 'random_state': 42, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 20, 'max_depth': 15, 'learning_rate': 0.05, 'colsample_bytree': 1.0, 'class_weight': 'balanced'}",0.7034678518222651,0.7087207491055177,0.701278371821035,0.7034555130767297,0.7046345621779275,0.704311409600695,0.0024572411039656,4,0.9047825647928648,0.9044207380229894,0.9056239294329992,0.9038404806851824,0.9050622668563484,0.9047459959580768,0.0005996469596258
400.65228896141053,25.43769664271466,4.046756267547607,3.060919808737619,-1,1.0,42,70,300,20,15,0.05,0.7,balanced,"{'verbose': -1, 'subsample': 1.0, 'random_state': 42, 'num_leaves': 70, 'n_estimators': 300, 'min_child_samples': 20, 'max_depth': 15, 'learning_rate': 0.05, 'colsample_bytree': 0.7, 'class_weight': 'balanced'}",0.7011055642620295,0.7092690037958996,0.6982348157588081,0.7034922546702254,0.705378608292075,0.7034960493558075,0.0037487609542703,5,0.8999848114073206,0.8982342507203164,0.898984113200814,0.8993833107173603,0.901098973050022,0.8995370918191666,0.0009661008971526
205.26633043289183,19.020718366445458,1.7361070156097411,0.7095858337702508,-1,0.8,42,31,300,20,10,0.1,1.0,balanced,"{'verbose': -1, 'subsample': 0.8, 'random_state': 42, 'num_leaves': 31, 'n_estimators': 300, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 1.0, 'class_weight': 'balanced'}",0.7034787390965113,0.705735978872909,0.6973297811537815,0.7053838813691632,0.7007307321951121,0.7025318225374955,0.0031496879004149,6,0.8972058827480168,0.8963000887361546,0.8977663183893131,0.8967709293748299,0.8970713860553702,0.897022921060737,0.0004846544752869
217.6975594043732,17.51907308652425,4.759148788452149,1.7077168129250897,-1,0.8,42,31,300,50,-1,0.1,1.0,balanced,"{'verbose': -1, 'subsample': 0.8, 'random_state': 42, 'num_leaves': 31, 'n_estimators': 300, 'min_child_samples': 50, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 1.0, 'class_weight': 'balanced'}",0.7065467978567603,0.7074238433430391,0.696866222261656,0.6993790039011885,0.7011267766119987,0.7022685287949284,0.0040919120785665,7,0.9203117942593688,0.9203161702592724,0.920962298495186,0.9206243359218436,0.9213902381587108,0.9207209674188762,0.0004115300894697
200.6336705684662,17.32803744985169,1.4244804859161375,0.4015332809237618,-1,0.8,42,70,500,50,7,0.1,0.8,balanced,"{'verbose': -1, 'subsample': 0.8, 'random_state': 42, 'num_leaves': 70, 'n_estimators': 500, 'min_child_samples': 50, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8, 'class_weight': 'balanced'}",0.6996630692398276,0.7100140912174329,0.6956432706181455,0.7023770040610783,0.7005543942285056,0.701650365872998,0.004726850956993,8,0.8685819530430823,0.8695070292270045,0.8722388999022374,0.870231296622398,0.869892129164427,0.8700902615918299,0.0012075552655834
217.1152976036072,5.582335530976824,1.3225222110748291,0.7359792757232597,-1,1.0,42,70,200,20,15,0.2,0.7,balanced,"{'verbose': -1, 'subsample': 1.0, 'random_state': 42, 'num_leaves': 70, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 15, 'learning_rate': 0.2, 'colsample_bytree': 0.7, 'class_weight': 'balanced'}",0.7017811702340084,0.7068402464636423,0.6963345734714135,0.701745958929763,0.7003908294362515,0.7014185557070158,0.0033626331790868,9,0.9812937879926752,0.9815965599040414,0.9810726202146932,0.9815273927219405,0.982126076905456,0.9815232875477612,0.0003534152773379
131.0320167541504,6.381978274364294,1.9056349277496336,0.6737092699011782,-1,0.8,42,50,500,50,5,0.1,0.7,balanced,"{'verbose': -1, 'subsample': 0.8, 'random_state': 42, 'num_leaves': 50, 'n_estimators': 500, 'min_child_samples': 50, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7, 'class_weight': 'balanced'}",0.6968884304144801,0.7059933143137233,0.6934301534501444,0.6997107089641028,0.6979414854598066,0.6987928185204515,0.0041424461669423,10,0.8195069610357892,0.8204957043047113,0.8214469473730867,0.8199302018367165,0.8202550410157027,0.8203269711132013,0.0006508201037721
